"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5574","TestUserShouldNotLoginWithInvalidCredentials","Default Suite","Sun Jun 22 04:30:15 BDT 2025","passed","Sun Jun 22 04:30:21 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidCredentials"
"","5273","TestUserShouldNotLoginWithInvalidUserCredentials","Default Suite","Sun Jun 22 04:30:41 BDT 2025","passed","Sun Jun 22 04:30:47 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidUserCredentials"
"","5025","TestUserShouldNotLoginWithInvalidCredentials","All Test Suite","Sun Jun 22 03:56:25 BDT 2025","failed","Sun Jun 22 03:56:30 BDT 2025","testcases.TestLoginPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidCredentials"
"","6201","TestUserShouldNotLoginWithInvalidUserCredentials","Default Suite","Sun Jun 22 04:30:28 BDT 2025","passed","Sun Jun 22 04:30:34 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidUserCredentials"
"","5148","TestUserShouldNotLoginWithInvalidPassword","Default Suite","Sun Jun 22 04:24:22 BDT 2025","passed","Sun Jun 22 04:24:27 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidPassword"
"","4973","TestUserShouldNotLoginWithInvalidUserCredentials","All Test Suite","Sun Jun 22 03:58:36 BDT 2025","failed","Sun Jun 22 03:58:41 BDT 2025","testcases.TestLoginPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidUserCredentials"
"","865","TestMainPageTitle","All Test Suite","Sun Jun 22 04:23:16 BDT 2025","passed","Sun Jun 22 04:23:17 BDT 2025","testcases.TestMainPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestMainPage","TestMainPageTitle"
"","6080","TestUserShouldNotLoginWithInvalidCredentials","All Test Suite","Sun Jun 22 03:55:02 BDT 2025","failed","Sun Jun 22 03:55:08 BDT 2025","testcases.TestLoginPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidCredentials"
"","12351","TestUserCanLoginWithValidCredentials","Default Suite","Sun Jun 22 04:24:02 BDT 2025","passed","Sun Jun 22 04:24:15 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserCanLoginWithValidCredentials"
"","5912","TestUserShouldNotLoginWithInvalidUsername","Default Suite","Sun Jun 22 04:29:58 BDT 2025","passed","Sun Jun 22 04:30:04 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidUsername"
"","5427","TestUserShouldNotLoginWithInvalidCredentials","All Test Suite","Sun Jun 22 03:56:19 BDT 2025","passed","Sun Jun 22 03:56:24 BDT 2025","testcases.TestLoginPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidCredentials"
"","5706","TestUserShouldNotLoginWithInvalidCredentials","All Test Suite","Sun Jun 22 03:56:12 BDT 2025","passed","Sun Jun 22 03:56:18 BDT 2025","testcases.TestLoginPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidCredentials"
"","5351","TestUserShouldNotLoginWithInvalidUserCredentials","Default Suite","Sun Jun 22 04:30:35 BDT 2025","failed","Sun Jun 22 04:30:40 BDT 2025","testcases.TestLoginPage","WebAutomationWiki","testcases.TestLoginPage","TestUserShouldNotLoginWithInvalidUserCredentials"
"","914","TestLoginButton","All Test Suite","Sun Jun 22 04:23:17 BDT 2025","passed","Sun Jun 22 04:23:18 BDT 2025","testcases.TestMainPage","C:/Users/ASUS/IdeaProjects/WebAutomationWiki/src/main/java/testcases","testcases.TestMainPage","TestLoginButton"
